Date Time; Economic Growth 
1995-04-01;0.42
1995-07-01;0.60
1995-10-01;0.21
1996-01-01;-0.20
1996-04-01;0.70
1996-07-01;0.46
1996-10-01;0.79
1997-01-01;1.00
1997-04-01;1.55
1997-07-01;0.88
1997-10-01;0.56
1998-01-01;0.26
1998-04-01;0.33
1998-07-01;0.29
1998-10-01;0.22
1999-01-01;1.05
1999-04-01;1.37
1999-07-01;1.45
1999-10-01;1.18
2000-01-01;0.71
2000-04-01;0.72
2000-07-01;0.46
2000-10-01;0.98
2001-01-01;0.06
2001-04-01;0.02
2001-07-01;-0.19
2001-10-01;-0.10
2002-01-01;0.86
2002-04-01;0.86
2002-07-01;0.54
2002-10-01;0.37
2003-01-01;-0.26
2003-04-01;0.21
2003-07-01;0.41
2003-10-01;0.70
2004-01-01;1.50
2004-04-01;0.96
2004-07-01;0.87
2004-10-01;0.36
2005-01-01;0.53
2005-04-01;0.60
2005-07-01;0.40
2005-10-01;0.77
2006-01-01;0.62
2006-04-01;0.36
2006-07-01;0.88
2006-10-01;1.14
2007-01-01;1.42
2007-04-01;0.46
2007-07-01;0.77
2007-10-01;0.41
2008-01-01;0.43
2008-04-01;0.06
2008-07-01;-0.58
2008-10-01;-2.17
2009-01-01;-0.97
2009-04-01;0.05
2009-07-01;1.26
2009-10-01;0.80
2010-01-01;0.52
2010-04-01;0.99
2010-07-01;0.42
2010-10-01;0.51
2011-01-01;0.48
2011-04-01;0.21
2011-07-01;0.29
2011-10-01;0.29
2012-01-01;0.22
2012-04-01;0.00
2012-07-01;0.24
2012-10-01;-0.05
2013-01-01;-0.28
2013-04-01;0.58
2013-07-01;0.31
2013-10-01;0.22
2014-01-01;0.43
2014-04-01;0.27
2014-07-01;0.69
2014-10-01;0.52
2015-01-01;0.52
2015-04-01;0.67
2015-07-01;0.19
2015-10-01;0.42
2016-01-01;0.06
2016-04-01;0.55
2016-07-01;0.18
2016-10-01;0.51
2017-01-01;0.65
2017-04-01;0.24
2017-07-01;-0.06
2017-10-01;0.80
2018-01-01;0.37
2018-04-01;0.45
2018-07-01;0.39
2018-10-01;0.98
2019-01-01;0.27
2019-04-01;0.55
2019-07-01;0.73
2019-10-01;0.60
2020-01-01;-2.89
2020-04-01;-11.40
2020-07-01;11.76
2020-10-01;-0.49
2021-01-01;1.43
2021-04-01;1.77
2021-07-01;2.35
2021-10-01;0.58
2022-01-01;0.62
2022-04-01;0.53
2022-07-01;0.31
2022-10-01;0.06
2023-01-01;0.47
